seed,cenario,algoritmo,num_processos,total_seeds,quantum,custo_troca,turnaround_medio,trocas_contexto,slowdown_medio,jain_slowdown_pct
20,prioridades_desbalanceadas,prioridade,1000,100,4,1,19464.282,3518,693.6779377449867,15.002394821191954
20,prioridades_desbalanceadas,round_robin,1000,100,4,1,28700.616,10547,588.0575835796623,84.03696132183875
21,cpu_bound,epa,1000,100,4,1,20970.439,1498,482.56113427640986,82.0648708058511
21,cpu_bound,fcfs,1000,100,4,1,20107.081,1498,489.62512144755465,77.59416942019794
21,cpu_bound,prioridade,1000,100,4,1,17933.698,1498,494.39662999059357,57.49515783399883
21,cpu_bound,round_robin,1000,100,4,1,34352.436,10835,848.6392314101189,94.16123064149261
21,equilibrado,epa,1000,100,4,1,22168.781,3513,524.3827423042533,43.034481175008814
21,equilibrado,fcfs,1000,100,4,1,22747.516,3513,526.724237158029,41.690002544489616
21,equilibrado,prioridade,1000,100,4,1,18616.811,3513,755.447685047708,15.104572773273505
21,equilibrado,round_robin,1000,100,4,1,28639.375,10445,597.4938207045927,80.33171478926138
21,io_bound,epa,1000,100,4,1,9875.436,6505,200.9096728256826,62.88258989687545
21,io_bound,fcfs,1000,100,4,1,16203.916,6513,310.41287621305514,92.81060888502317
21,io_bound,prioridade,1000,100,4,1,11077.865,6512,221.82141068820735,66.19269554267393
21,io_bound,round_robin,1000,100,4,1,16203.916,6513,310.41287621305514,92.81060888502317
21,prioridades_desbalanceadas,epa,1000,100,4,1,21688.172,3513,518.6014807818337,38.04136272474237
21,prioridades_desbalanceadas,fcfs,1000,100,4,1,22699.111,3513,522.1963967373542,51.25248212369913
21,prioridades_desbalanceadas,prioridade,1000,100,4,1,19006.747,3513,758.8284724315797,11.105226263477359
21,prioridades_desbalanceadas,round_robin,1000,100,4,1,28038.087,10332,590.131115653701,83.13291299475888
22,cpu_bound,epa,1000,100,4,1,21310.274,1495,494.12438333824457,80.63165480594438
22,cpu_bound,fcfs,1000,100,4,1,20532.664,1495,501.53383424242224,77.14282385589115
22,cpu_bound,prioridade,1000,100,4,1,18366.032,1495,511.7499078743557,56.15026841681065
22,cpu_bound,round_robin,1000,100,4,1,34750.952,10821,857.6750927712244,94.48524631057198
22,equilibrado,epa,1000,100,4,1,21569.046,3431,517.2809486196672,37.405352050597315
22,equilibrado,fcfs,1000,100,4,1,22284.678,3431,497.49614994520346,48.562705766617796
22,equilibrado,prioridade,1000,100,4,1,19141.778,3431,831.3468646745383,12.95443569751761
22,equilibrado,round_robin,1000,100,4,1,28102.029,10360,598.9042603165698,81.89322592941278
22,io_bound,epa,1000,100,4,1,9962.896,6426,210.64344508484888,62.81623509524274
22,io_bound,fcfs,1000,100,4,1,16054.668,6431,313.71475258581535,92.64852155669651
22,io_bound,prioridade,1000,100,4,1,11154.496,6431,230.88664632810875,65.8699339565527
22,io_bound,round_robin,1000,100,4,1,16054.668,6431,313.71475258581535,92.64852155669651
22,prioridades_desbalanceadas,epa,1000,100,4,1,21563.479,3430,520.6747413168198,32.950658980777845
22,prioridades_desbalanceadas,fcfs,1000,100,4,1,22335.38,3431,521.3285738178508,38.839922260350185
22,prioridades_desbalanceadas,prioridade,1000,100,4,1,18897.905,3431,725.4901378993474,12.89086565438074
22,prioridades_desbalanceadas,round_robin,1000,100,4,1,28009.802,10344,604.1884064449451,78.36723683461572
23,cpu_bound,epa,1000,100,4,1,20912.618,1500,474.15641009148624,81.58036507144725
